Customer_Name,Customer_ID,Highest_Order_Value
Sean Miller,SM-20320,47322.456
Tamara Chand,TC-20980,36673.48
Raymond Buch,RB-19360,28104.96
Tom Ashbrook,TA-21385,27432.916
Becky Martin,BM-11140,21079.791999999998
Hunter Lopez,HL-15040,20999.94
Sanjit Chand,SC-20095,19800.38
Adrian Barton,AB-10105,19785.48
Bill Shonely,BS-11365,18270.379999999997
Sanjit Engle,SE-20110,17610.08
Christopher Conant,CC-12370,17078.04
Ken Lonsdale,KL-16645,16638.579999999994
Grant Thornton,GT-14635,16334.839999999998
Peter Fuller,PF-19120,15356.455999999996
Seth Vernon,SV-20365,14719.836
Tom Boeckenhauer,TB-21400,13999.92
Christopher Martinez,CM-12385,12825.539999999999
Greg Tran,GT-14710,12321.232
Karen Daniels,KD-16270,12251.644
Keith Dawkins,KD-16495,11701.027999999998
Andy Reiter,AR-10540,11605.4
Sean Braxton,SB-20290,11159.880000000001
Daniel Raglin,DR-12940,11098.82
Todd Sumrall,TS-21370,11018.284
Jane Waco,JW-15220,10651.768
Nick Crebassa,NC-18535,10565.296
Cindy Stewart,CS-12505,10033.098
Edward Hooks,EH-13765,9881.74
Harry Marie,HM-14860,9819.220000000001
Caroline Jumper,CJ-12010,9671.952000000001
Max Jones,MJ-17740,9646.18
Nathan Mautz,NM-18445,9614.743999999999
Joseph Airdo,JA-15970,9498.654
Dennis Pardue,DP-13390,9370.152
Nora Preis,NP-18700,9261.021
Cathy Prescott,CP-12085,9238.66
Fred Hopkins,FH-14365,9214.54
Patrick O'Brill,PO-18850,9180.687999999998
John Murray,JM-15865,9097.62
Helen Wasserman,HW-14935,8944.64
Adam Bellavance,AB-10060,8877.372
Tom Prescott,TP-21415,8832.348
Alex Avila,AA-10315,8812.144
Quincy Jones,QJ-19255,8809.8
Maria Etezadi,ME-17320,8749.76
Pete Kriz,PK-19075,8675.279999999999
Anna Häberlin,AH-10690,8634.6
Joseph Holt,JH-15985,8595.288
Darrin Martin,DM-13015,8567.583999999999
Greg Maxwell,GM-14695,8503.84
Tamara Willingham,TW-21025,8421.3
Natalie Fritzler,NF-18385,8380.411999999998
Alan Dominguez,AD-10180,8378.759999999998
Karen Ferguson,KF-16285,8347.624
Jim Kriz,JK-15640,8301.944
Maribeth Schnelling,MS-17365,8208.348
Shirley Daniels,SD-20485,7999.404
Laura Armstrong,LA-16780,7927.14
Keith Herrera,KH-16510,7911.014000000001
Sarah Brown,SB-20185,7724.196000000001
Yana Sorensen,YS-21880,7718.976
Luke Weiss,LW-17215,7570.584
Kristen Hastings,KH-16690,7539.119999999999
Katrina Willman,KW-16435,7495.860000000001
