Customer_ID,Customer_Name,Total_Sales,Sales_Rank
SM-20320,Sean Miller,50086.1,1
TC-20980,Tamara Chand,38104.436,2
RB-19360,Raymond Buch,30234.677999999996,3
TA-21385,Tom Ashbrook,29191.240000000005,4
AB-10105,Adrian Barton,28947.14199999999,5
KL-16645,Ken Lonsdale,28350.458,6
SC-20095,Sanjit Chand,28284.66799999999,7
HL-15040,Hunter Lopez,25746.595999999994,8
SE-20110,Sanjit Engle,24418.876000000004,9
CC-12370,Christopher Conant,24258.144000000004,10
TS-21370,Todd Sumrall,23783.501999999997,11
GT-14710,Greg Tran,23640.24,12
BM-11140,Becky Martin,23579.26,13
SV-20365,Seth Vernon,22941.900000000005,14
CJ-12010,Caroline Jumper,22329.94799999999,15
CL-12565,Clay Ludtke,21761.091999999997,16
ME-17320,Maria Etezadi,21327.455999999995,17
KF-16285,Karen Ferguson,21208.531999999996,18
BS-11365,Bill Shonely,21003.305999999997,19
EH-13765,Edward Hooks,20621.76,20
JL-15835,John Lee,19599.845999999994,21
GT-14635,Grant Thornton,18702.424,22
HW-14935,Helen Wasserman,18600.508,23
TB-21400,Tom Boeckenhauer,18267.98,24
PF-19120,Peter Fuller,18125.727999999996,25
CM-12385,Christopher Martinez,17908.039999999997,26
JD-16150,Justin Deggeller,17656.060999999994,27
JE-15715,Joe Elijah,17395.685999999998,28
LA-16780,Laura Armstrong,17346.444,29
PK-19075,Pete Kriz,17293.868,30
DR-12940,Daniel Raglin,16701.736,31
NF-18385,Natalie Fritzler,16645.651999999995,32
KD-16270,Karen Daniels,16564.715999999993,33
NC-18535,Nick Crebassa,16483.478000000003,34
HM-14860,Harry Marie,16473.5296,35
KD-16495,Keith Dawkins,16362.511999999999,36
SB-20290,Sean Braxton,16115.782000000001,37
ZC-21910,Zuschuss Carroll,16051.413999999999,38
JH-15985,Joseph Holt,15909.996,39
NP-18700,Nora Preis,15806.365000000002,40
AH-10690,Anna Häberlin,15776.588000000003,41
AB-10060,Adam Bellavance,15511.239999999996,42
JE-15610,Jim Epp,15509.952000000001,43
JW-15220,Jane Waco,15443.427999999998,44
LC-16885,Lena Creighton,15326.252,45
JM-15865,John Murray,15250.152000000004,46
JD-15895,Jonathan Doherty,15221.727999999994,47
PO-18850,Patrick O'Brill,14947.656399999998,48
MS-17365,Maribeth Schnelling,14887.379999999997,49
RW-19540,Rick Wilson,14794.802,50
BM-11650,Brian Moss,14588.37,51
PP-18955,Paul Prost,14505.215999999997,52
NW-18400,Natalie Webber,14468.027999999998,53
Dp-13240,Dean percer,14397.522000000003,54
FH-14365,Fred Hopkins,13974.392000000002,55
RH-19510,Rick Huthwaite,13958.36,56
PS-19045,Penelope Sewall,13687.267999999998,57
BB-11545,Brenda Bowman,13531.455999999995,58
JE-15745,Joel Eaton,13521.630000000001,59
YS-21880,Yana Sorensen,13440.887999999999,60
AR-10540,Andy Reiter,13216.895999999999,61
DR-12880,Dan Reichenbach,13056.067999999997,62
GK-14620,Grace Kelly,12994.539999999999,63
JA-15970,Joseph Airdo,12982.051999999998,64
NM-18445,Nathan Mautz,12918.687999999998,65
VD-21670,Valerie Dominguez,12884.508,66
SB-20185,Sarah Brown,12821.992,67
JG-15160,James Galang,12732.784,68
DM-13015,Darrin Martin,12690.205999999998,69
CM-12655,Corinna Mitchell,12679.115199999998,70
MJ-17740,Max Jones,12641.492,71
BH-11710,Brosina Hoffman,12510.702000000003,72
RL-19615,Rob Lucas,12469.819999999994,73
WB-21850,William Brown,12320.203999999996,74
VW-21775,Victoria Wilson,12268.076,75
SD-20485,Shirley Daniels,12242.227999999997,76
QJ-19255,Quincy Jones,12216.676,77
AD-10180,Alan Dominguez,12213.759999999998,78
CB-12025,Cassandra Brandow,12152.278,79
GM-14695,Greg Maxwell,12099.932000000003,80
SC-20380,Shahid Collister,11985.072,81
KH-16690,Kristen Hastings,11981.598,82
RM-19675,Robert Marley,11958.192,83
KH-16510,Keith Herrera,11905.717999999997,84
BF-11170,Ben Ferrer,11815.944000000001,85
CP-12340,Christine Phan,11776.550000000003,86
BD-11320,Bill Donatelli,11437.042,87
CS-12505,Cindy Stewart,11380.11,88
AM-10705,Anne McFarland,11328.043999999996,89
RB-19795,Ross Baird,11266.631999999998,90
KM-16375,Katherine Murray,11240.371999999998,91
AA-10315,Alex Avila,11127.12,92
SM-20950,Suzanne McNair,11126.784000000001,93
NP-18325,Naresj Patel,11059.24,94
AC-10450,Amy Cox,11055.692000000001,95
MH-18115,Mick Hernandez,11006.185999999998,96
DP-13390,Dennis Pardue,10961.448,97
EP-13915,Emily Phan,10956.121599999999,98
YC-21895,Yoseph Carroll,10908.700000000003,99
SP-20620,Stefania Perrino,10880.638,100
LW-17215,Luke Weiss,10841.027999999998,101
CP-12085,Cathy Prescott,10804.508,102
TS-21205,Thomas Seio,10742.18,103
