Customer_ID,Customer_Name,Total_Sales
SM-20320,Sean Miller,50086.1
TC-20980,Tamara Chand,38104.436
RB-19360,Raymond Buch,30234.677999999996
TA-21385,Tom Ashbrook,29191.240000000005
AB-10105,Adrian Barton,28947.14199999999
KL-16645,Ken Lonsdale,28350.458
SC-20095,Sanjit Chand,28284.66799999999
HL-15040,Hunter Lopez,25746.595999999994
SE-20110,Sanjit Engle,24418.876000000004
CC-12370,Christopher Conant,24258.144000000004
TS-21370,Todd Sumrall,23783.501999999997
GT-14710,Greg Tran,23640.24
BM-11140,Becky Martin,23579.26
SV-20365,Seth Vernon,22941.900000000005
CJ-12010,Caroline Jumper,22329.94799999999
CL-12565,Clay Ludtke,21761.091999999997
ME-17320,Maria Etezadi,21327.455999999995
KF-16285,Karen Ferguson,21208.531999999996
BS-11365,Bill Shonely,21003.305999999997
EH-13765,Edward Hooks,20621.76
JL-15835,John Lee,19599.845999999994
GT-14635,Grant Thornton,18702.424
HW-14935,Helen Wasserman,18600.508
TB-21400,Tom Boeckenhauer,18267.98
PF-19120,Peter Fuller,18125.727999999996
CM-12385,Christopher Martinez,17908.039999999997
JD-16150,Justin Deggeller,17656.060999999994
JE-15715,Joe Elijah,17395.685999999998
LA-16780,Laura Armstrong,17346.444
PK-19075,Pete Kriz,17293.868
DR-12940,Daniel Raglin,16701.736
NF-18385,Natalie Fritzler,16645.651999999995
KD-16270,Karen Daniels,16564.715999999993
NC-18535,Nick Crebassa,16483.478000000003
HM-14860,Harry Marie,16473.5296
KD-16495,Keith Dawkins,16362.511999999999
SB-20290,Sean Braxton,16115.782000000001
ZC-21910,Zuschuss Carroll,16051.413999999999
JH-15985,Joseph Holt,15909.996
NP-18700,Nora Preis,15806.365000000002
AH-10690,Anna Häberlin,15776.588000000003
AB-10060,Adam Bellavance,15511.239999999996
JE-15610,Jim Epp,15509.952000000001
JW-15220,Jane Waco,15443.427999999998
LC-16885,Lena Creighton,15326.252
JM-15865,John Murray,15250.152000000004
JD-15895,Jonathan Doherty,15221.727999999994
PO-18850,Patrick O'Brill,14947.656399999998
MS-17365,Maribeth Schnelling,14887.379999999997
RW-19540,Rick Wilson,14794.802
BM-11650,Brian Moss,14588.37
PP-18955,Paul Prost,14505.215999999997
NW-18400,Natalie Webber,14468.027999999998
Dp-13240,Dean percer,14397.522000000003
FH-14365,Fred Hopkins,13974.392000000002
RH-19510,Rick Huthwaite,13958.36
PS-19045,Penelope Sewall,13687.267999999998
BB-11545,Brenda Bowman,13531.455999999995
JE-15745,Joel Eaton,13521.630000000001
YS-21880,Yana Sorensen,13440.887999999999
AR-10540,Andy Reiter,13216.895999999999
DR-12880,Dan Reichenbach,13056.067999999997
GK-14620,Grace Kelly,12994.539999999999
JA-15970,Joseph Airdo,12982.051999999998
NM-18445,Nathan Mautz,12918.687999999998
VD-21670,Valerie Dominguez,12884.508
SB-20185,Sarah Brown,12821.992
JG-15160,James Galang,12732.784
DM-13015,Darrin Martin,12690.205999999998
CM-12655,Corinna Mitchell,12679.115199999998
MJ-17740,Max Jones,12641.492
BH-11710,Brosina Hoffman,12510.702000000003
RL-19615,Rob Lucas,12469.819999999994
WB-21850,William Brown,12320.203999999996
