order_id,order_date,first_name,last_name,total_amount
CA-2017-147039,6/29/2017,Alex,Avila,362.94
CA-2015-121391,10-04-2015,Alex,Avila,26.96
CA-2014-128055,3/31/2014,Alex,Avila,673.568
CA-2016-103982,03-03-2016,Alex,Avila,3930.072
CA-2014-138100,9/15/2014,Alex,Avila,14.94
CA-2024-999999,Jun  7 2026 10:39PM,Alex,Avila,1598
CA-2024-999999,Jun  7 2026 10:41PM,Alex,Avila,1598
CA-2024-999999,Jun  7 2026 10:42PM,Alex,Avila,1598
CA-2024-999999,Jun  7 2026 10:45PM,Alex,Avila,1598
CA-2024-999999,Jun  7 2026  5:53PM,Alex,Avila,1598
US-2017-169488,09-07-2017,Allen,Armold,16.9
CA-2015-114503,11/13/2015,Allen,Armold,84.96
CA-2017-100230,12-11-2017,Allen,Armold,14.952
CA-2016-131065,11/14/2016,Allen,Armold,499.98
CA-2015-109939,05-08-2015,Allen,Armold,5.248
CA-2014-158064,4/21/2014,Allen,Armold,16.52
CA-2015-140921,02-03-2015,Allen,Armold,28.4
CA-2016-126613,07-10-2016,Allen,Armold,16.768
CA-2014-130729,10/24/2014,Allen,Armold,34.272
CA-2016-121671,7/17/2016,Andrew,Allen,21.93
CA-2017-114412,4/15/2017,Andrew,Allen,15.552
CA-2014-155271,05-04-2014,Andrew,Allen,27.46
CA-2016-114601,8/26/2016,Andrew,Allen,11.56
CA-2017-157196,11-05-2017,Anna,Andreadi,12.96
CA-2014-143210,12-01-2014,Anna,Andreadi,271.9
CA-2015-110863,11/17/2015,Anna,Andreadi,541.24
CA-2016-131205,09-04-2016,Anna,Andreadi,42.6
CA-2014-154963,6/22/2014,Anna,Andreadi,170.058
CA-2016-147137,07-04-2016,Anna,Andreadi,25.4
CA-2014-156587,03-07-2014,Aaron,Bergman,48.712
CA-2014-152905,2/18/2014,Aaron,Bergman,12.624
CA-2016-140935,11-10-2016,Aaron,Bergman,221.98
CA-2017-107174,11-06-2017,Adam,Bellavance,2036.86
CA-2017-159688,05-07-2017,Adam,Bellavance,79.99
CA-2015-150511,9/18/2015,Adam,Bellavance,18.54
CA-2017-134173,9/16/2017,Adam,Bellavance,20.736
US-2016-108637,3/13/2016,Adam,Bellavance,127.88
CA-2016-161207,8/29/2016,Adam,Bellavance,27.93
CA-2016-129714,09-01-2016,Adam,Bellavance,6.79
CA-2017-118213,11-05-2017,Adam,Bellavance,4.41
CA-2015-163181,11-07-2015,Adrian,Barton,23.64
CA-2017-140781,08-03-2017,Adrian,Barton,39.816
US-2016-122245,9/25/2016,Adrian,Barton,393.165
CA-2017-101042,11/19/2017,Adrian,Barton,821.88
CA-2014-103100,12/20/2014,Adrian,Barton,3.69
CA-2017-126788,06-05-2017,Adrian,Barton,470.376
CA-2017-121643,5/18/2017,Adrian,Barton,344.704
CA-2016-147431,02-02-2016,Adrian,Barton,117.96
CA-2016-117121,12/17/2016,Adrian,Barton,9892.74
CA-2017-153822,9/19/2017,Adrian,Barton,12.624
CA-2014-169061,03-05-2014,Aimee,Bixby,59.52
CA-2016-147970,1/31/2016,Aimee,Bixby,15.552
CA-2015-168186,09-10-2015,Aimee,Bixby,14.94
CA-2017-120761,09-04-2017,Aimee,Bixby,91.96
CA-2017-158876,11/19/2017,Aimee,Bixby,16.896
CA-2015-131534,3/28/2015,Alan,Barnes,166.24
CA-2017-144932,4/14/2017,Alan,Barnes,14.592
CA-2017-131212,12-05-2017,Alan,Barnes,24.816
CA-2015-115945,6/25/2015,Alan,Barnes,20.96
US-2014-139500,11/16/2014,Alan,Barnes,37.296
CA-2017-145737,9/15/2017,Alan,Barnes,163.96
CA-2015-144043,05-10-2015,Alan,Barnes,46.688
CA-2017-126634,3/30/2017,Alan,Barnes,94.2
CA-2016-151323,10/23/2016,Alejandro,Ballentine,17.05
CA-2015-142055,05-08-2015,Alejandro,Ballentine,37.94
CA-2017-126662,7/17/2017,Alejandro,Ballentine,479.984
CA-2015-110093,12-03-2015,Alejandro,Ballentine,16.448
CA-2016-151155,12/20/2016,Alejandro,Ballentine,18.92
CA-2017-155873,6/16/2017,Alejandro,Ballentine,16.68
US-2016-158708,6/26/2016,Alejandro,Ballentine,13.616
CA-2017-127705,06-02-2017,Alejandro,Ballentine,2.97
CA-2014-122679,7/22/2014,Alejandro,Ballentine,19.68
US-2017-155425,11-10-2017,Ann,Blume,38.388
CA-2014-115336,11/18/2014,Ann,Blume,14.48
CA-2015-111234,2/18/2015,Ann,Blume,9.24
CA-2015-158323,11/30/2015,Ann,Blume,17.088
CA-2016-144400,2/23/2016,Alyssa,Crouse,57.576
US-2017-158218,05-12-2017,Alyssa,Crouse,127.92
CA-2014-129924,07-12-2014,Alyssa,Crouse,7.712
CA-2017-141789,10-03-2017,Amy,Cox,1793.98
CA-2016-163573,11/24/2016,Amy,Cox,1219.96
CA-2017-158729,12/19/2017,Amy,Cox,1665.62
CA-2015-164441,11-08-2015,Amy,Cox,52.272
US-2015-106495,6/15/2015,Amy,Cox,11.672
CA-2016-116232,9/22/2016,Amy,Cox,7.506
US-2014-167262,10/31/2014,Amy,Cox,742.336
CA-2017-136007,2/23/2017,Ann,Chong,8.4
CA-2015-100734,9/15/2015,Ann,Chong,3.576
CA-2017-169411,12/24/2017,Ann,Chong,37.93
CA-2017-157987,09-02-2017,Ann,Chong,23.1
CA-2017-101637,3/24/2017,Ann,Chong,12.768
CA-2016-158617,9/22/2016,Anna,Chung,35.88
CA-2017-135650,3/23/2017,Anna,Chung,143.728
CA-2016-134544,3/17/2016,Anna,Chung,84.784
CA-2016-161928,6/27/2016,Anna,Chung,201.584
US-2014-122021,10/15/2014,Anna,Chung,183.372
CA-2017-143245,12-01-2017,Alan,Dominguez,19.44
US-2017-136784,4/30/2017,Alan,Dominguez,163.96
CA-2017-160416,11/13/2017,Alan,Dominguez,163.96
CA-2015-120439,6/14/2015,Alan,Dominguez,51.072
CA-2015-124268,07-04-2015,Alan,Dominguez,15.48
CA-2017-127432,1/22/2017,Alan,Dominguez,2999.95
US-2014-152030,12/26/2014,Alan,Dominguez,600.558
CA-2014-128062,11/19/2014,Alan,Dominguez,5.88
CA-2016-126270,4/23/2016,Art,Ferguson,18.088
US-2017-139969,11/19/2017,Art,Ferguson,233.058
CA-2017-167871,11/18/2017,Art,Ferguson,44.384
CA-2016-139234,05-06-2016,Art,Ferguson,3.208
CA-2016-146934,5/22/2016,Art,Ferguson,345
CA-2015-168634,12-06-2015,Art,Ferguson,7.78
CA-2017-125269,4/24/2017,Art,Ferguson,10.43
CA-2014-114181,05-10-2014,Art,Foster,349.965
CA-2014-103702,09-12-2014,Art,Foster,63.924
CA-2016-115588,11-10-2016,Art,Foster,14.72
CA-2015-114300,10/13/2015,Art,Foster,83.72
CA-2014-167164,5/13/2014,Alejandro,Grove,55.5
CA-2016-105732,9/13/2016,Alejandro,Grove,40.74
CA-2014-103058,7/23/2014,Alejandro,Grove,99.98
CA-2015-153738,9/20/2015,Alejandro,Grove,37.68
CA-2017-139416,3/27/2017,Alejandro,Grove,15.008
CA-2015-166800,11/19/2015,Aleksandra,Gannaway,31.08
CA-2014-147298,4/26/2014,Aleksandra,Gannaway,230.28
CA-2017-161823,09-03-2017,Aleksandra,Gannaway,5.96
CA-2016-143749,12-05-2016,Aleksandra,Gannaway,81.94
CA-2017-107748,12-10-2017,Alex,Grayson,95.84
CA-2017-142909,12/22/2017,Alex,Grayson,182.55
CA-2017-108287,12/18/2017,Alex,Grayson,12.672
CA-2016-104150,08-03-2016,Alex,Grayson,81.54
CA-2017-104927,12/22/2017,Alex,Grayson,25.92
CA-2017-107244,09-07-2017,Allen,Goldenen,19.76
CA-2014-125171,09-03-2014,Allen,Goldenen,14.4
CA-2014-158470,4/19/2014,Allen,Goldenen,58.05
CA-2016-109820,11/20/2016,Allen,Goldenen,15.696
CA-2016-136483,12-01-2016,Allen,Goldenen,4.704
CA-2017-132976,10/13/2017,Andrew,Gjertsen,11.648
CA-2015-142692,10/23/2015,Andrew,Gjertsen,3.592
CA-2015-104241,01-04-2015,Andrew,Gjertsen,192.22
CA-2015-118738,10/24/2015,Andrew,Gjertsen,15.552
CA-2015-156146,10/26/2015,Andrew,Gjertsen,105.584
CA-2016-168921,10/20/2016,Andrew,Gjertsen,19.296
CA-2015-162201,06-08-2015,Andrew,Gjertsen,173.488
CA-2015-111948,11-11-2015,Andrew,Gjertsen,418.32
CA-2014-158281,09-02-2014,Andy,Gerbode,559.71
CA-2015-164084,09-07-2015,Andy,Gerbode,70.26
CA-2015-169572,09-06-2015,Andy,Gerbode,46.62
CA-2014-167850,08-09-2014,Andy,Gerbode,178.384
CA-2016-108987,09-08-2016,Anna,Gayman,35.952
CA-2017-101483,7/29/2017,Anna,Gayman,34.848
CA-2015-137512,05-07-2015,Anna,Gayman,244.006
US-2017-146822,06-09-2017,Anna,Gayman,49.12
CA-2016-133368,1/14/2016,Anna,Gayman,89.568
CA-2017-163335,9/24/2017,Anna,Gayman,40.29
US-2017-104094,09-07-2017,Anna,Gayman,13.48
CA-2015-110947,06-09-2015,Anthony,Garverick,113.1
CA-2017-126123,10/14/2017,Anthony,Garverick,27.396
CA-2015-113222,11-09-2015,Anthony,Garverick,10.74
US-2014-158638,9/17/2014,Anthony,Garverick,5.892
US-2014-119137,7/23/2014,Arthur,Gainer,8.16
CA-2015-130785,09-05-2015,Arthur,Gainer,411.332
CA-2015-148376,12/27/2015,Arthur,Gainer,106.96
CA-2015-115399,12/19/2015,Arthur,Gainer,6.912
CA-2015-136728,9/13/2015,Arthur,Gainer,7.824
CA-2017-116939,9/25/2017,Arthur,Gainer,177.55
CA-2017-161557,09-03-2017,Arthur,Gainer,108.4
