customer_id,customer_name,order_id,order_date,total_amount
AA-10315,Alex Avila,CA-2017-147039,6/29/2017,362.94
AA-10315,Alex Avila,CA-2015-121391,10-04-2015,26.96
AA-10315,Alex Avila,CA-2014-128055,3/31/2014,673.568
AA-10315,Alex Avila,CA-2016-103982,03-03-2016,3930.072
AA-10315,Alex Avila,CA-2014-138100,9/15/2014,14.94
AA-10315,Alex Avila,CA-2024-999999,Jun  7 2026 10:39PM,1598
AA-10315,Alex Avila,CA-2024-999999,Jun  7 2026 10:41PM,1598
AA-10315,Alex Avila,CA-2024-999999,Jun  7 2026 10:42PM,1598
AA-10315,Alex Avila,CA-2024-999999,Jun  7 2026 10:45PM,1598
AA-10315,Alex Avila,CA-2024-999999,Jun  7 2026  5:53PM,1598
AA-10375,Allen Armold,US-2017-169488,09-07-2017,16.9
AA-10375,Allen Armold,CA-2015-114503,11/13/2015,84.96
AA-10375,Allen Armold,CA-2017-100230,12-11-2017,14.952
AA-10375,Allen Armold,CA-2016-131065,11/14/2016,499.98
AA-10375,Allen Armold,CA-2015-109939,05-08-2015,5.248
AA-10375,Allen Armold,CA-2014-158064,4/21/2014,16.52
AA-10375,Allen Armold,CA-2015-140921,02-03-2015,28.4
AA-10375,Allen Armold,CA-2016-126613,07-10-2016,16.768
AA-10375,Allen Armold,CA-2014-130729,10/24/2014,34.272
AA-10480,Andrew Allen,CA-2016-121671,7/17/2016,21.93
AA-10480,Andrew Allen,CA-2017-114412,4/15/2017,15.552
AA-10480,Andrew Allen,CA-2014-155271,05-04-2014,27.46
AA-10480,Andrew Allen,CA-2016-114601,8/26/2016,11.56
AA-10645,Anna Andreadi,CA-2017-157196,11-05-2017,12.96
AA-10645,Anna Andreadi,CA-2014-143210,12-01-2014,271.9
AA-10645,Anna Andreadi,CA-2015-110863,11/17/2015,541.24
AA-10645,Anna Andreadi,CA-2016-131205,09-04-2016,42.6
AA-10645,Anna Andreadi,CA-2014-154963,6/22/2014,170.058
AA-10645,Anna Andreadi,CA-2016-147137,07-04-2016,25.4
AB-10015,Aaron Bergman,CA-2014-156587,03-07-2014,48.712
AB-10015,Aaron Bergman,CA-2014-152905,2/18/2014,12.624
AB-10015,Aaron Bergman,CA-2016-140935,11-10-2016,221.98
AB-10060,Adam Bellavance,CA-2017-107174,11-06-2017,2036.86
AB-10060,Adam Bellavance,CA-2017-159688,05-07-2017,79.99
AB-10060,Adam Bellavance,CA-2015-150511,9/18/2015,18.54
AB-10060,Adam Bellavance,CA-2017-134173,9/16/2017,20.736
AB-10060,Adam Bellavance,US-2016-108637,3/13/2016,127.88
AB-10060,Adam Bellavance,CA-2016-161207,8/29/2016,27.93
AB-10060,Adam Bellavance,CA-2016-129714,09-01-2016,6.79
AB-10060,Adam Bellavance,CA-2017-118213,11-05-2017,4.41
AB-10105,Adrian Barton,CA-2015-163181,11-07-2015,23.64
AB-10105,Adrian Barton,CA-2017-140781,08-03-2017,39.816
AB-10105,Adrian Barton,US-2016-122245,9/25/2016,393.165
AB-10105,Adrian Barton,CA-2017-101042,11/19/2017,821.88
AB-10105,Adrian Barton,CA-2014-103100,12/20/2014,3.69
AB-10105,Adrian Barton,CA-2017-126788,06-05-2017,470.376
AB-10105,Adrian Barton,CA-2017-121643,5/18/2017,344.704
AB-10105,Adrian Barton,CA-2016-147431,02-02-2016,117.96
AB-10105,Adrian Barton,CA-2016-117121,12/17/2016,9892.74
AB-10105,Adrian Barton,CA-2017-153822,9/19/2017,12.624
AB-10150,Aimee Bixby,CA-2014-169061,03-05-2014,59.52
AB-10150,Aimee Bixby,CA-2016-147970,1/31/2016,15.552
AB-10150,Aimee Bixby,CA-2015-168186,09-10-2015,14.94
AB-10150,Aimee Bixby,CA-2017-120761,09-04-2017,91.96
AB-10150,Aimee Bixby,CA-2017-158876,11/19/2017,16.896
AB-10165,Alan Barnes,CA-2015-131534,3/28/2015,166.24
AB-10165,Alan Barnes,CA-2017-144932,4/14/2017,14.592
AB-10165,Alan Barnes,CA-2017-131212,12-05-2017,24.816
AB-10165,Alan Barnes,CA-2015-115945,6/25/2015,20.96
AB-10165,Alan Barnes,US-2014-139500,11/16/2014,37.296
AB-10165,Alan Barnes,CA-2017-145737,9/15/2017,163.96
AB-10165,Alan Barnes,CA-2015-144043,05-10-2015,46.688
AB-10165,Alan Barnes,CA-2017-126634,3/30/2017,94.2
AB-10255,Alejandro Ballentine,CA-2016-151323,10/23/2016,17.05
AB-10255,Alejandro Ballentine,CA-2015-142055,05-08-2015,37.94
AB-10255,Alejandro Ballentine,CA-2017-126662,7/17/2017,479.984
AB-10255,Alejandro Ballentine,CA-2015-110093,12-03-2015,16.448
AB-10255,Alejandro Ballentine,CA-2016-151155,12/20/2016,18.92
AB-10255,Alejandro Ballentine,CA-2017-155873,6/16/2017,16.68
AB-10255,Alejandro Ballentine,US-2016-158708,6/26/2016,13.616
AB-10255,Alejandro Ballentine,CA-2017-127705,06-02-2017,2.97
AB-10255,Alejandro Ballentine,CA-2014-122679,7/22/2014,19.68
AB-10600,Ann Blume,US-2017-155425,11-10-2017,38.388
AB-10600,Ann Blume,CA-2014-115336,11/18/2014,14.48
AB-10600,Ann Blume,CA-2015-111234,2/18/2015,9.24
AB-10600,Ann Blume,CA-2015-158323,11/30/2015,17.088
AC-10420,Alyssa Crouse,CA-2016-144400,2/23/2016,57.576
AC-10420,Alyssa Crouse,US-2017-158218,05-12-2017,127.92
AC-10420,Alyssa Crouse,CA-2014-129924,07-12-2014,7.712
AC-10450,Amy Cox,CA-2017-141789,10-03-2017,1793.98
AC-10450,Amy Cox,CA-2016-163573,11/24/2016,1219.96
